timestamp,device_uuid,vaz,vbz,vcz,ia,ib,ic,kwa,kwb,kwc,kvara,kvarb,kvarc,pfa,pfb,pfc,vay,vby,vcy,vaz_ang,vbz_ang,vcz_ang,vay_ang,vby_ang,vcy_ang,ia_ang,ib_ang,ic_ang,,,,,,,,,,,,,
2025-01-30 15:30:43+00,add18211-8fb9-4362-af7e-6fcb39131869,7347.737793,7324.788574,7270.395996,0.305516605,0.276752548,0.325683975,1.772311449,1.513517737,-1.242034554,-1.377784729,-1.348561049,-2.015953779,0.789498962,0.746622009,0.524540771,7405.797852,7396.822754,7255.162598,NULL,-119.7837695,120.5872656,0.724197922,-119.2964648,121.1637793,37.86128906,-78.08238281,-117.7754004,,,,,,,,,,,,,
2025-01-30 15:30:48+00,add18211-8fb9-4362-af7e-6fcb39131869,7347.737793,7324.788574,7270.395996,0.305516605,0.276752548,0.325683975,1.772311449,1.513517737,-1.242034554,-1.377784729,-1.348561049,-2.015953779,0.789498962,0.746622009,0.524540771,7405.797852,7396.822754,7255.162598,NULL,-119.7837695,120.5872656,0.724197922,-119.2964648,121.1637793,37.86128906,-78.08238281,-117.7754004,,,,,,,,,,,,,
2025-01-30 15:30:53+00,add18211-8fb9-4362-af7e-6fcb39131869,7353.062012,7326.759766,7277.332031,0.313089199,0.272617531,0.331362076,1.841814518,1.532021761,-1.285289407,-1.381187797,-1.2816118,-2.040351391,0.800036072,0.767006775,0.532998474,7410.940918,7398.765137,7262.044922,NULL,-119.7939746,120.513877,0.72476059,-119.3056836,121.0893848,36.86645264,-79.87982422,-117.2778516,,,,,,,,,,,,,
2025-01-30 15:30:58+00,add18211-8fb9-4362-af7e-6fcb39131869,7353.062012,7326.759766,7277.332031,0.313089199,0.272617531,0.331362076,1.841814518,1.532021761,-1.285289407,-1.381187797,-1.2816118,-2.040351391,0.800036072,0.767006775,0.532998474,7410.940918,7398.765137,7262.044922,NULL,-119.7939746,120.513877,0.72476059,-119.3056836,121.0893848,36.86645264,-79.87982422,-117.2778516,,,,,,,,,,,,,
2025-01-30 15:31:03+00,add18211-8fb9-4362-af7e-6fcb39131869,7348.442871,7323.712402,7276.144043,0.310390987,0.274610786,0.329893875,1.836138964,1.475717068,-1.314986587,-1.353164792,-1.366406083,-2.008112669,0.805009705,0.733760315,0.547829956,7406.372559,7396.055176,7261.117188,NULL,-119.8095313,120.6230273,0.724528122,-119.3215625,121.1982031,36.38880615,-77.01209961,-116.1587012,,,,,,,,,,,,,
2025-01-30 15:31:08+00,add18211-8fb9-4362-af7e-6fcb39131869,7348.442871,7323.712402,7276.144043,0.310390987,0.274610786,0.329893875,1.836138964,1.475717068,-1.314986587,-1.353164792,-1.366406083,-2.008112669,0.805009705,0.733760315,0.547829956,7406.372559,7396.055176,7261.117188,NULL,-119.8095313,120.6230273,0.724528122,-119.3215625,121.1982031,36.38880615,-77.01209961,-116.1587012,,,,,,,,,,,,,
2025-01-30 15:31:13+00,add18211-8fb9-4362-af7e-6fcb39131869,7349.025391,7326.67334,7287.206543,0.307234077,0.272084846,0.319072285,1.788854241,1.517541647,-1.239526629,-1.377672553,-1.292678118,-1.967199922,0.79227478,0.761253723,0.533096375,7407.416992,7398.861328,7272.110352,NULL,-119.9274219,120.6489648,0.721930771,-119.4406543,121.2253516,37.60139404,-79.50227051,-117.1361328,,,,,,,,,,,,,
2025-01-30 15:31:18+00,add18211-8fb9-4362-af7e-6fcb39131869,7349.025391,7326.67334,7287.206543,0.307234077,0.272084846,0.319072285,1.788854241,1.517541647,-1.239526629,-1.377672553,-1.292678118,-1.967199922,0.79227478,0.761253723,0.533096375,7407.416992,7398.861328,7272.110352,NULL,-119.9274219,120.6489648,0.721930771,-119.4406543,121.2253516,37.60139404,-79.50227051,-117.1361328,,,,,,,,,,,,,
2025-01-30 15:31:23+00,add18211-8fb9-4362-af7e-6fcb39131869,7343.643555,7316.173828,7289.021484,0.313564014,0.264609241,0.321014748,1.810718536,1.436379671,-1.273909092,-1.422580957,-1.297932148,-1.962704778,0.786345032,0.741959534,0.544432739,7401.452637,7387.932617,7273.759277,NULL,-120.008877,120.6809082,0.725001755,-119.5237598,121.2567383,38.15475342,-77.90748047,-116.3331934,,,,,,,,,,,,,
2025-01-30 15:31:28+00,add18211-8fb9-4362-af7e-6fcb39131869,7343.643555,7316.173828,7289.021484,0.313564014,0.264609241,0.321014748,1.810718536,1.436379671,-1.273909092,-1.422580957,-1.297932148,-1.962704778,0.786345032,0.741959534,0.544432739,7401.452637,7387.932617,7273.759277,NULL,-120.008877,120.6809082,0.725001755,-119.5237598,121.2567383,38.15475342,-77.90748047,-116.3331934,,,,,,,,,,,,,
2025-01-30 15:31:33+00,add18211-8fb9-4362-af7e-6fcb39131869,7343.678223,7323.140625,7287.645996,0.30232338,0.276083221,0.32593277,1.778543472,1.500530243,-1.298303246,-1.32887876,-1.355016232,-1.989064217,0.801085938,0.742176819,0.546588928,7401.898926,7395.356934,7272.788086,NULL,-119.9142188,120.7288379,0.722451706,-119.424375,121.3063965,36.76607422,-77.83139648,-116.1378516,,,,,,,,,,,,,
